category,subcategory,local term,english translation,simple category
Racist narrative,islamophobic,داعشي,daesh,Islamophobia
Racist narrative,islamophobic,إرهابي,terrorist,Islamophobia
Racist narrative,rape,اغتصاب,rape,Racism
Racist narrative,rape,اغتصاب جماعي,gang rape,Racism
Racist narrative,rape,ضحية اغتصاب,rape victim,Racism
Racist narrative,white privilege,عنصري ابيض,white racist,Racism
Racist narrative,white privilege,امريكي,american,Racism
Sexist,anti-woman,قحبة,whore,Sexism
Sexist,anti-woman,شرموطة,slut,Sexism
Sexist,anti-woman,شلكة,slut,Sexism
Sexist,anti-woman,أحبة,slut,Sexism
Sexual,Male anatomy,زبي,di**,Sexual
Sexual,Male anatomy,عيري,coc*,Sexual
Sexual,Male anatomy,شمبورة,di**,Sexual
Sexual,Male anatomy,زوبي,d**,Sexual
Sexual,Sex,بزاع,cum,Sexual
Sexual,Sex,ماني,cum,Sexual
Sexual,Sex,كبيت,came,Sexual
Sexual,Sex,جبت ضهري,came,Sexual
Slurs,islamophobic,داعشي,you look like daesh,Islamophobia
Slurs,islamophobic,شيعي,you are shia,Sectarianism
Slurs,islamophobic,راس المنشفة,towelhead,Islamophobia
Slurs,islamophobic,باكستاني,paki,Islamophobia
Slurs,anti-semitic,صهيوني,zion,Antisemitism
Violence,violent threat,حرق,burning,Violence
Violence,violent threat,أحرقك,burn you,Violence
Violence,violent threat,أطعنك,stab you,Violence
Violence,violent threat,اقتلك,kill you,Violence
Violence,violent threat,اطخك,stab you- another word,Violence
Violence,death threats,حموتك,I will kill you,Violence
Violence,death threats,حطخك,I will shoot you,Violence
Violence,death threats,حدعسك,I will ran you over,Violence
Violence,death threats,حنهيك,I will finish you,Violence
Violence,death threats,حرتكب فيك جريمة,I will commit a crime on you,Violence
Violence,rape,حغتصبك,I will rape you,Violence
Violence,rape,حنيكك,I will f you,Violence
Violence,rape,حدخله فيك,I will penetrate you,Violence
Violence,weaponry,سكين,knife,Violence
Violence,weaponry,مسدس,gun,Violence
Violence,weaponry,فرد,gun,Violence
